Dimension,Value,Procedure,Measure,Pre-Op Q Mean,Pre-Op Q 5%,Pre-Op Q 1st Quartile,Pre-Op Q Median,Pre-Op Q 3rd Quartile,Pre-Op Q 95%,Post-Op Q Mean,Post-Op Q 5%,Post-Op Q 1st Quartile,Post-Op Q Median,Post-Op Q 3rd Quartile,Post-Op Q 95%,Heath Gain Mean,Heath Gain 5%,Heath Gain 1st Quartile,Heath Gain Median,Heath Gain 3rd Quartile,Heath Gain 95%,Improved,Unchanged,Worsened,Total
Index of Multiple Deprivation,03. Less deprived 20-30%,Hip Replacement,EQ-5D Index,0.354,-0.074,0.055,0.516,0.656,0.76,0.814,0.364,0.691,0.85,1,1,0.461,0,0.205,0.413,0.741,1.016,4132,216,193,4541
Index of Multiple Deprivation,03. Less deprived 20-30%,Hip Replacement,Oxford Hip Score,18.03,6,12,17,23,33,40.471,23,37,43,47,48,22.441,5,16,23,30,37.8,4779,20,106,4905
Index of Multiple Deprivation,03. Less deprived 20-30%,Knee Replacement,EQ VAS,68.566,30,59,71,82,95,76.987,40,70,80,90,97,8.421,-21.1,-3,5,20,45,2948,576,1295,4819
Index of Multiple Deprivation,03. Less deprived 20-30%,Knee Replacement,EQ-5D Index,0.441,-0.074,0.159,0.62,0.691,0.76,0.779,0.364,0.691,0.796,1,1,0.338,-0.071,0.104,0.309,0.601,0.899,4179,434,363,4976
Index of Multiple Deprivation,03. Less deprived 20-30%,Knee Replacement,Oxford Knee Score,19.671,7,14,20,25,33,37.182,20,32,39,44,47,17.511,1,12,18,24,32,5043,37,198,5278
Index of Multiple Deprivation,04. Less deprived 30-40%,Hip Replacement,EQ VAS,63.654,20,50,70,80,95,78.154,41.8,70,80,90,100,14.499,-20,0,10,30,60,2788,406,863,4057
Index of Multiple Deprivation,04. Less deprived 30-40%,Hip Replacement,EQ-5D Index,0.348,-0.074,0.055,0.516,0.656,0.76,0.816,0.418,0.691,0.85,1,1,0.468,0,0.221,0.413,0.765,1.016,3838,216,171,4225
Index of Multiple Deprivation,04. Less deprived 30-40%,Hip Replacement,Oxford Hip Score,17.829,6,12,17,23,32,40.554,24,37,43,47,48,22.725,5,16,24,30,37,4478,26,76,4580
Index of Multiple Deprivation,04. Less deprived 30-40%,Knee Replacement,EQ VAS,68.087,30,55,70,83,95,76.131,40,70,80,90,97,8.043,-25,-4,5,20,45,2790,536,1269,4595
Index of Multiple Deprivation,04. Less deprived 30-40%,Knee Replacement,EQ-5D Index,0.431,-0.016,0.157,0.587,0.691,0.76,0.768,0.189,0.691,0.796,1,1,0.336,-0.071,0.104,0.309,0.601,0.899,3984,429,363,4776
Index of Multiple Deprivation,04. Less deprived 30-40%,Knee Replacement,Oxford Knee Score,19.405,8,14,19,25,32,36.835,19,32,39,44,47,17.43,1,11,18,24,33,4824,38,208,5070
Index of Multiple Deprivation,05. Less deprived 40-50%,Hip Replacement,EQ VAS,63.456,20,50,70,80,95,77.807,40,70,80,90,100,14.35,-20,0,10,29,60,2671,365,816,3852
Index of Multiple Deprivation,05. Less deprived 40-50%,Hip Replacement,EQ-5D Index,0.351,-0.074,0.055,0.516,0.656,0.76,0.808,0.293,0.691,0.848,1,1,0.457,0,0.204,0.413,0.759,1.016,3626,215,178,4019
