Dimension;Value;Procedure;Measure;Pre-Op Q Mean;Pre-Op Q 5%;Pre-Op Q 1st Quartile;Pre-Op Q Median;Pre-Op Q 3rd Quartile;Pre-Op Q 95%;Post-Op Q Mean;Post-Op Q 5%;Post-Op Q 1st Quartile;Post-Op Q Median;Post-Op Q 3rd Quartile;Post-Op Q 95%;Heath Gain Mean;Heath Gain 5%;Heath Gain 1st Quartile;Heath Gain Median;Heath Gain 3rd Quartile;Heath Gain 95%;Improved;Unchanged;Worsened;Total;Year
Index of Multiple Deprivation;01. Least deprived 10%;Hip Replacement;Oxford Hip Score;19.586;7.0;13.0;19.0;25.0;34.0;40.947;25.0;38.0;43.0;47.0;48.0;21.36;4.0;15.0;22.0;28.0;36.0;5215.0;33.0;126.0;5374.0;2016-17
Index of Multiple Deprivation;01. Least deprived 10%;Knee Replacement;EQ VAS;68.97;30.0;60.0;70.0;82.0;95.0;76.412;40.0;70.0;80.0;90.0;96.35;7.442;-23.0;-4.0;5.0;19.0;45.0;2807.0;640.0;1307.0;4754.0;2016-17
Index of Multiple Deprivation;01. Least deprived 10%;Knee Replacement;EQ-5D Index;0.47;-0.016;0.159;0.62;0.691;0.76;0.781;0.353;0.691;0.796;1.0;1.0;0.311;-0.071;0.071;0.296;0.532;0.841;4061.0;456.0;372.0;4889.0;2016-17
Index of Multiple Deprivation;01. Least deprived 10%;Knee Replacement;Oxford Knee Score;20.61;8.0;15.0;20.0;26.0;33.0;37.199;20.0;33.0;39.0;44.0;47.0;16.59;1.0;11.0;17.0;23.0;31.0;4986.0;44.0;218.0;5248.0;2016-17
Index of Multiple Deprivation;02. Less deprived 10-20%;Hip Replacement;EQ VAS;65.24;25.0;50.0;70.0;80.0;95.0;79.019;47.65;70.0;80.0;90.0;100.0;13.779;-20.0;0.0;10.0;25.0;55.0;3566.0;531.0;1077.0;5174.0;2016-17
Index of Multiple Deprivation;02. Less deprived 10-20%;Hip Replacement;EQ-5D Index;0.385;-0.074;0.055;0.516;0.691;0.76;0.821;0.516;0.691;0.85;1.0;1.0;0.436;0.0;0.204;0.38;0.707;1.003;4840.0;287.0;234.0;5361.0;2016-17
Index of Multiple Deprivation;02. Less deprived 10-20%;Hip Replacement;Oxford Hip Score;19.018;6.0;13.0;19.0;25.0;33.0;40.626;24.0;37.0;43.0;47.0;48.0;21.608;4.0;15.0;22.0;29.0;37.0;5587.0;28.0;129.0;5744.0;2016-17
Index of Multiple Deprivation;02. Less deprived 10-20%;Knee Replacement;EQ VAS;68.579;30.0;55.0;70.0;84.0;95.0;76.29;40.0;70.0;80.0;90.0;96.0;7.711;-25.0;-4.0;5.0;20.0;45.0;3104.0;670.0;1437.0;5211.0;2016-17
Index of Multiple Deprivation;02. Less deprived 10-20%;Knee Replacement;EQ-5D Index;0.446;-0.016;0.159;0.62;0.691;0.76;0.769;0.195;0.691;0.796;1.0;1.0;0.323;-0.071;0.071;0.309;0.59;0.891;4423.0;517.0;444.0;5384.0;2016-17
Index of Multiple Deprivation;02. Less deprived 10-20%;Knee Replacement;Oxford Knee Score;20.123;8.0;15.0;20.0;25.0;33.0;36.828;19.0;32.0;39.0;44.0;47.0;16.705;0.0;11.0;17.0;24.0;32.0;5480.0;46.0;287.0;5813.0;2016-17
Index of Multiple Deprivation;03. Less deprived 20-30%;Hip Replacement;EQ VAS;65.323;25.0;50.0;70.0;80.0;95.0;78.511;45.0;70.0;80.0;90.0;100.0;13.188;-20.0;0.0;10.0;27.0;55.0;3424.0;515.0;1144.0;5083.0;2016-17
Index of Multiple Deprivation;03. Less deprived 20-30%;Hip Replacement;EQ-5D Index;0.385;-0.074;0.055;0.516;0.691;0.76;0.813;0.335;0.691;0.85;1.0;1.0;0.428;0.0;0.192;0.38;0.705;1.016;4689.0;283.0;256.0;5228.0;2016-17
Index of Multiple Deprivation;03. Less deprived 20-30%;Hip Replacement;Oxford Hip Score;18.641;6.0;12.0;18.0;24.0;33.0;40.219;23.0;37.0;43.0;47.0;48.0;21.578;4.0;15.0;22.0;29.0;37.0;5442.0;20.0;150.0;5612.0;2016-17
Index of Multiple Deprivation;03. Less deprived 20-30%;Knee Replacement;EQ VAS;68.929;30.0;59.0;70.0;85.0;95.0;75.847;40.0;70.0;80.0;90.0;97.0;6.918;-25.0;-5.0;5.0;19.0;45.0;2958.0;742.0;1474.0;5174.0;2016-17
Index of Multiple Deprivation;03. Less deprived 20-30%;Knee Replacement;EQ-5D Index;0.438;-0.057;0.159;0.62;0.691;0.76;0.762;0.189;0.691;0.796;1.0;1.0;0.324;-0.071;0.071;0.309;0.59;0.864;4423.0;504.0;452.0;5379.0;2016-17
Index of Multiple Deprivation;03. Less deprived 20-30%;Knee Replacement;Oxford Knee Score;19.696;7.0;14.0;19.0;25.0;33.0;36.505;19.0;31.0;39.0;44.0;47.0;16.808;0.0;11.0;17.0;24.0;32.0;5472.0;59.0;247.0;5778.0;2016-17
Index of Multiple Deprivation;04. Less deprived 30-40%;Hip Replacement;EQ VAS;64.389;20.0;50.0;70.0;80.0;95.0;78.042;44.0;70.0;80.0;90.0;100.0;13.653;-20.0;0.0;10.0;26.0;58.0;3227.0;517.0;1037.0;4781.0;2016-17
Index of Multiple Deprivation;04. Less deprived 30-40%;Hip Replacement;EQ-5D Index;0.357;-0.074;0.055;0.516;0.689;0.76;0.806;0.293;0.691;0.85;1.0;1.0;0.448;0.0;0.204;0.413;0.726;1.003;4455.0;255.0;242.0;4952.0;2016-17
Index of Multiple Deprivation;04. Less deprived 30-40%;Hip Replacement;Oxford Hip Score;18.139;6.0;12.0;17.0;24.0;33.0;40.038;22.0;36.0;43.0;47.0;48.0;21.898;4.0;16.0;23.0;29.0;37.0;5183.0;24.0;125.0;5332.0;2016-17
Index of Multiple Deprivation;04. Less deprived 30-40%;Knee Replacement;EQ VAS;68.958;30.0;60.0;74.0;83.0;95.0;75.717;40.0;70.0;80.0;90.0;96.0;6.759;-25.0;-5.0;5.0;19.0;45.0;2785.0;569.0;1451.0;4805.0;2016-17
Index of Multiple Deprivation;04. Less deprived 30-40%;Knee Replacement;EQ-5D Index;0.436;-0.016;0.159;0.587;0.691;0.76;0.758;0.186;0.691;0.796;1.0;1.0;0.322;-0.071;0.071;0.309;0.59;0.851;4121.0;502.0;402.0;5025.0;2016-17
Index of Multiple Deprivation;04. Less deprived 30-40%;Knee Replacement;Oxford Knee Score;19.563;8.0;14.0;19.0;25.0;33.0;36.41;18.0;31.0;38.0;44.0;47.0;16.847;0.0;10.0;17.0;24.0;32.0;5125.0;47.0;238.0;5410.0;2016-17
Index of Multiple Deprivation;05. Less deprived 40-50%;Hip Replacement;EQ VAS;64.927;20.0;50.0;70.0;80.0;95.0;77.737;40.0;70.0;80.0;90.0;100.0;12.81;-20.0;0.0;10.0;25.0;55.0;3045.0;507.0;996.0;4548.0;2016-17
Index of Multiple Deprivation;05. Less deprived 40-50%;Hip Replacement;EQ-5D Index;0.358;-0.074;0.055;0.516;0.689;0.76;0.802;0.312;0.691;0.815;1.0;1.0;0.444;-0.033;0.204;0.413;0.724;1.003;4276.0;234.0;248.0;4758.0;2016-17
Index of Multiple Deprivation;05. Less deprived 40-50%;Hip Replacement;Oxford Hip Score;18.128;6.0;12.0;17.0;24.0;33.0;39.944;22.0;36.0;43.0;46.0;48.0;21.817;4.0;16.0;23.0;29.0;37.0;5026.0;22.0;110.0;5158.0;2016-17
Index of Multiple Deprivation;05. Less deprived 40-50%;Knee Replacement;EQ VAS;68.066;30.0;55.0;70.0;80.0;95.0;75.113;40.0;69.0;80.0;90.0;96.0;7.046;-25.0;-5.0;5.0;19.0;45.0;2853.0;640.0;1395.0;4888.0;2016-17
Index of Multiple Deprivation;05. Less deprived 40-50%;Knee Replacement;EQ-5D Index;0.429;-0.074;0.157;0.587;0.691;0.76;0.751;0.159;0.691;0.779;1.0;1.0;0.322;-0.104;0.071;0.309;0.59;0.871;4154.0;496.0;422.0;5072.0;2016-17
Index of Multiple Deprivation;05. Less deprived 40-50%;Knee Replacement;Oxford Knee Score;19.308;7.0;14.0;19.0;24.0;32.0;35.956;17.0;31.0;38.0;43.0;47.0;16.648;0.0;10.0;17.0;23.0;32.0;5213.0;56.0;251.0;5520.0;2016-17
Index of Multiple Deprivation;06. More deprived 40-50%;Hip Replacement;EQ VAS;64.096;20.0;50.0;70.0;80.0;95.0;77.343;40.0;70.0;80.0;90.0;100.0;13.247;-20.95;0.0;10.0;25.0;60.0;2733.0;369.0;880.0;3982.0;2016-17
Index of Multiple Deprivation;06. More deprived 40-50%;Hip Replacement;EQ-5D Index;0.348;-0.074;0.055;0.516;0.69;0.76;0.797;0.291;0.691;0.815;1.0;1.0;0.449;-0.036;0.204;0.413;0.73;1.003;3759.0;208.0;223.0;4190.0;2016-17
Index of Multiple Deprivation;06. More deprived 40-50%;Hip Replacement;Oxford Hip Score;17.735;5.0;12.0;17.0;23.0;33.0;39.531;21.0;35.0;42.0;46.0;48.0;21.796;4.0;15.0;22.0;29.0;37.0;4412.0;18.0;104.0;4534.0;2016-17
Index of Multiple Deprivation;06. More deprived 40-50%;Knee Replacement;EQ VAS;67.375;30.0;50.0;70.0;80.0;95.0;74.463;40.0;65.0;80.0;90.0;96.0;7.088;-29.0;-5.0;5.0;20.0;45.0;2442.0;548.0;1249.0;4239.0;2016-17
Index of Multiple Deprivation;06. More deprived 40-50%;Knee Replacement;EQ-5D Index;0.413;-0.074;0.088;0.587;0.691;0.76;0.74;0.159;0.689;0.76;1.0;1.0;0.326;-0.104;0.069;0.309;0.601;0.874;3611.0;419.0;422.0;4452.0;2016-17
Index of Multiple Deprivation;06. More deprived 40-50%;Knee Replacement;Oxford Knee Score;18.99;7.0;13.0;19.0;24.0;32.0;35.542;16.0;30.0;38.0;43.0;47.0;16.551;-1.0;10.0;17.0;24.0;32.0;4513.0;54.0;252.0;4819.0;2016-17
Index of Multiple Deprivation;07. More deprived 30-40%;Hip Replacement;EQ VAS;63.519;20.0;50.0;70.0;80.0;95.0;76.663;40.0;70.0;80.0;90.0;100.0;13.143;-21.9;0.0;10.0;27.0;59.0;2200.0;372.0;711.0;3283.0;2016-17
Index of Multiple Deprivation;07. More deprived 30-40%;Hip Replacement;EQ-5D Index;0.332;-0.074;0.024;0.364;0.62;0.727;0.777;0.159;0.691;0.814;1.0;1.0;0.445;-0.071;0.192;0.413;0.74;1.016;3018.0;198.0;225.0;3441.0;2016-17
Index of Multiple Deprivation;07. More deprived 30-40%;Hip Replacement;Oxford Hip Score;17.291;5.0;11.0;17.0;23.0;32.0;38.819;20.0;34.0;42.0;46.0;48.0;21.527;3.0;15.0;23.0;29.0;37.0;3573.0;25.0;111.0;3709.0;2016-17
Index of Multiple Deprivation;07. More deprived 30-40%;Knee Replacement;EQ VAS;66.642;25.0;50.0;70.0;80.0;95.0;73.234;35.0;65.0;80.0;90.0;95.0;6.592;-30.0;-5.0;5.0;20.0;45.0;2082.0;466.0;1146.0;3694.0;2016-17
Index of Multiple Deprivation;07. More deprived 30-40%;Knee Replacement;EQ-5D Index;0.394;-0.074;0.088;0.516;0.691;0.743;0.722;0.082;0.62;0.76;1.0;1.0;0.328;-0.104;0.069;0.309;0.601;0.875;3163.0;382.0;360.0;3905.0;2016-17
Index of Multiple Deprivation;07. More deprived 30-40%;Knee Replacement;Oxford Knee Score;18.504;7.0;13.0;18.0;24.0;32.0;34.894;16.0;29.0;37.0;43.0;47.0;16.39;-1.0;10.0;17.0;23.0;32.0;3913.0;50.0;234.0;4197.0;2016-17
Index of Multiple Deprivation;08. More deprived 20-30%;Hip Replacement;EQ VAS;61.869;20.0;50.0;65.0;80.0;95.0;74.532;35.0;65.0;80.0;90.0;99.0;12.663;-25.0;0.0;10.0;28.0;58.0;1762.0;275.0;656.0;2693.0;2016-17
Index of Multiple Deprivation;08. More deprived 20-30%;Hip Replacement;EQ-5D Index;0.313;-0.131;-0.003;0.208;0.62;0.727;0.759;0.137;0.62;0.796;1.0;1.0;0.446;-0.069;0.175;0.413;0.741;1.003;2461.0;180.0;170.0;2811.0;2016-17
Index of Multiple Deprivation;08. More deprived 20-30%;Hip Replacement;Oxford Hip Score;16.793;5.0;11.0;16.0;22.0;31.0;37.938;19.0;33.0;41.0;46.0;48.0;21.145;2.0;14.0;22.0;29.0;37.0;2937.0;28.0;87.0;3052.0;2016-17
Index of Multiple Deprivation;08. More deprived 20-30%;Knee Replacement;EQ VAS;65.396;25.0;50.0;70.0;80.0;95.0;72.007;35.0;60.0;75.0;88.0;95.0;6.611;-30.0;-5.0;5.0;20.0;49.0;1871.0;451.0;1023.0;3345.0;2016-17
Index of Multiple Deprivation;08. More deprived 20-30%;Knee Replacement;EQ-5D Index;0.368;-0.074;0.055;0.516;0.691;0.727;0.698;0.055;0.62;0.727;0.883;1.0;0.33;-0.104;0.069;0.309;0.603;0.899;2830.0;374.0;368.0;3572.0;2016-17
Index of Multiple Deprivation;08. More deprived 20-30%;Knee Replacement;Oxford Knee Score;17.62;6.0;12.0;17.0;23.0;31.0;33.712;14.0;27.0;36.0;42.0;47.0;16.092;-1.0;9.0;17.0;24.0;32.0;3587.0;55.0;238.0;3880.0;2016-17
Index of Multiple Deprivation;09. More deprived 10-20%;Hip Replacement;EQ VAS;60.04;20.0;45.0;60.5;80.0;90.0;72.511;30.65;60.0;79.0;90.0;98.35;12.471;-30.0;-1.0;10.0;30.0;60.0;1377.0;196.0;541.0;2114.0;2016-17
Index of Multiple Deprivation;09. More deprived 10-20%;Hip Replacement;EQ-5D Index;0.277;-0.181;-0.016;0.159;0.587;0.727;0.721;0.055;0.587;0.76;1.0;1.0;0.444;-0.071;0.159;0.413;0.74;1.016;1955.0;139.0;178.0;2272.0;2016-17
Index of Multiple Deprivation;09. More deprived 10-20%;Hip Replacement;Oxford Hip Score;15.866;4.0;10.0;15.0;21.0;30.0;36.631;16.0;30.0;39.0;45.0;48.0;20.765;0.2;14.0;22.0;29.0;38.0;2322.0;22.0;101.0;2445.0;2016-17
Index of Multiple Deprivation;09. More deprived 10-20%;Knee Replacement;EQ VAS;64.62;25.0;50.0;70.0;80.0;95.0;70.686;30.0;60.0;75.0;87.0;95.0;6.066;-35.0;-5.0;5.0;20.0;48.05;1519.0;341.0;880.0;2740.0;2016-17
Index of Multiple Deprivation;09. More deprived 10-20%;Knee Replacement;EQ-5D Index;0.339;-0.077;0.055;0.228;0.691;0.727;0.677;-0.016;0.587;0.727;0.85;1.0;0.338;-0.138;0.069;0.309;0.636;0.897;2319.0;251.0;335.0;2905.0;2016-17
Index of Multiple Deprivation;09. More deprived 10-20%;Knee Replacement;Oxford Knee Score;16.905;6.0;11.0;16.0;22.0;31.0;33.023;12.0;26.0;35.0;42.0;47.0;16.118;-2.0;9.0;17.0;24.0;33.0;2911.0;37.0;216.0;3164.0;2016-17
Index of Multiple Deprivation;10. Most deprived 10%;Hip Replacement;EQ VAS;58.887;10.0;40.0;60.0;80.0;94.1;70.854;30.0;60.0;75.0;90.0;100.0;11.967;-30.0;-5.0;10.0;28.0;60.0;1058.0;153.0;448.0;1659.0;2016-17
Index of Multiple Deprivation;10. Most deprived 10%;Hip Replacement;EQ-5D Index;0.252;-0.184;-0.016;0.128;0.587;0.727;0.688;0.024;0.587;0.727;1.0;1.0;0.436;-0.104;0.148;0.413;0.713;1.003;1522.0;126.0;127.0;1775.0;2016-17
Index of Multiple Deprivation;10. Most deprived 10%;Hip Replacement;Oxford Hip Score;15.387;4.0;9.0;15.0;20.0;30.0;35.317;14.0;28.0;38.0;44.0;48.0;19.929;0.0;13.0;21.0;28.0;37.0;1797.0;19.0;95.0;1911.0;2016-17
Index of Multiple Deprivation;10. Most deprived 10%;Knee Replacement;EQ VAS;63.083;25.0;50.0;70.0;80.0;95.0;68.24;30.0;53.0;70.0;85.0;95.0;5.157;-35.0;-10.0;5.0;20.0;45.0;1233.0;254.0;825.0;2312.0;2016-17
Index of Multiple Deprivation;10. Most deprived 10%;Knee Replacement;EQ-5D Index;0.319;-0.181;0.055;0.159;0.691;0.727;0.631;-0.016;0.516;0.691;0.796;1.0;0.312;-0.211;0.019;0.309;0.603;0.893;1909.0;279.0;349.0;2537.0;2016-17
Index of Multiple Deprivation;10. Most deprived 10%;Knee Replacement;Oxford Knee Score;16.537;5.0;11.0;16.0;21.75;30.0;31.543;11.0;24.0;33.0;40.0;46.0;15.006;-3.0;8.0;15.0;23.0;32.0;2509.0;33.0;232.0;2774.0;2016-17
Index of Multiple Deprivation;Unknown IMD;Hip Replacement;EQ VAS;61.919;20.0;50.0;65.0;80.0;94.75;76.5;30.0;70.0;80.0;90.0;100.0;14.581;-17.0;0.0;10.0;25.0;60.75;247.0;26.0;73.0;346.0;2016-17
Index of Multiple Deprivation;Unknown IMD;Hip Replacement;EQ-5D Index;0.335;-0.074;-0.003;0.312;0.62;0.753;0.778;0.055;0.691;0.848;1.0;1.0;0.443;-0.028;0.223;0.413;0.7;1.003;308.0;19.0;18.0;345.0;2016-17
Index of Multiple Deprivation;Unknown IMD;Hip Replacement;Oxford Hip Score;17.476;4.95;11.0;16.0;22.0;33.05;38.974;17.95;35.0;42.0;46.0;48.0;21.497;2.0;14.0;22.5;29.0;38.0;364.0;4.0;12.0;380.0;2016-17
Index of Multiple Deprivation;Unknown IMD;Knee Replacement;EQ VAS;65.112;30.0;50.0;70.0;80.0;92.0;72.275;33.5;60.0;80.0;88.0;95.0;7.163;-28.0;-5.0;5.0;20.0;45.0;182.0;27.0;86.0;295.0;2016-17
Index of Multiple Deprivation;Unknown IMD;Knee Replacement;EQ-5D Index;0.372;-0.074;0.085;0.516;0.691;0.757;0.7;-0.015;0.62;0.727;0.883;1.0;0.329;-0.104;0.071;0.309;0.603;0.852;246.0;29.0;28.0;303.0;2016-17
Index of Multiple Deprivation;Unknown IMD;Knee Replacement;Oxford Knee Score;17.778;6.0;12.0;17.0;23.0;30.0;35.283;16.0;29.0;37.0;44.0;47.0;17.505;0.0;12.0;17.0;25.0;32.8;306.0;5.0;14.0;325.0;2016-17
England;England;Hip Replacement;EQ VAS;63.311;20.0;50.0;70.0;80.0;95.0;77.31;40.0;70.0;80.0;90.0;100.0;14.0;-20.0;0.0;10.0;30.0;60.0;22541.0;3155.0;7199.0;32895.0;2017-18
England;England;Hip Replacement;EQ-5D Index;0.34;-0.074;0.055;0.516;0.62;0.745;0.799;0.226;0.691;0.848;1.0;1.0;0.458;0.0;0.204;0.413;0.741;1.016;30931.0;1809.0;1594.0;34334.0;2017-18
England;England;Hip Replacement;Oxford Hip Score;17.601;5.0;11.0;17.0;23.0;32.0;39.813;21.0;36.0;43.0;46.0;48.0;22.212;4.0;16.0;23.0;30.0;37.0;36016.0;182.0;842.0;37040.0;2017-18
England;England;Knee Replacement;EQ VAS;66.99;30.0;50.0;70.0;80.0;95.0;75.148;40.0;68.0;80.0;90.0;97.0;8.157;-25.0;-5.0;5.0;20.0;49.0;22964.0;4464.0;10962.0;38390.0;2017-18
England;England;Knee Replacement;EQ-5D Index;0.414;-0.074;0.088;0.587;0.691;0.76;0.751;0.159;0.691;0.779;1.0;1.0;0.336;-0.104;0.071;0.309;0.603;0.899;33050.0;3551.0;3362.0;39963.0;2017-18
England;England;Knee Replacement;Oxford Knee Score;18.986;7.0;13.0;19.0;24.0;32.0;36.08;17.0;31.0;38.0;44.0;47.0;17.093;0.0;11.0;18.0;24.0;32.0;40194.0;362.0;1899.0;42455.0;2017-18
Age;10 to 14;Hip Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2017-18
Age;10 to 14;Hip Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2017-18
Age;10 to 14;Hip Replacement;Oxford Hip Score;;;;;;;;;;;;;;;;;;;;;;;2017-18
Age;10 to 14;Knee Replacement;EQ VAS;;;;;;;;;;;;;;;;;;;;;;;2017-18
Age;10 to 14;Knee Replacement;EQ-5D Index;;;;;;;;;;;;;;;;;;;;;;;2017-18
Age;10 to 14;Knee Replacement;Oxford Knee Score;;;;;;;;;;;;;;;;;;;;;;;2017-18
Age;15 to 19;Hip Replacement;EQ VAS;45.714;20.0;25.0;40.0;62.5;79.0;75.0;50.6;66.0;80.0;86.5;89.7;29.286;0.1;15.5;30.0;44.5;59.7;6.0;0.0;1.0;7.0;2017-18
Age;15 to 19;Hip Replacement;EQ-5D Index;0.388;0.005;0.055;0.587;0.656;0.716;0.735;0.587;0.603;0.727;0.814;0.954;0.347;-0.073;0.0;0.413;0.628;0.822;4.0;2.0;1.0;7.0;2017-18
Age;15 to 19;Hip Replacement;Oxford Hip Score;14.429;5.9;8.5;13.0;21.0;23.4;41.286;32.6;37.5;43.0;46.0;47.0;26.857;14.1;19.0;21.0;37.5;40.8;7.0;0.0;0.0;7.0;2017-18
Age;15 to 19;Knee Replacement;EQ VAS;40.0;40.0;40.0;40.0;40.0;40.0;95.0;95.0;95.0;95.0;95.0;95.0;55.0;55.0;55.0;55.0;55.0;55.0;1.0;0.0;0.0;1.0;2017-18
Age;15 to 19;Knee Replacement;EQ-5D Index;-0.016;-0.016;-0.016;-0.016;-0.016;-0.016;0.71;0.71;0.71;0.71;0.71;0.71;0.726;0.726;0.726;0.726;0.726;0.726;1.0;0.0;0.0;1.0;2017-18
Age;15 to 19;Knee Replacement;Oxford Knee Score;11.0;11.0;11.0;11.0;11.0;11.0;47.0;47.0;47.0;47.0;47.0;47.0;36.0;36.0;36.0;36.0;36.0;36.0;1.0;0.0;0.0;1.0;2017-18
Age;20 to 24;Hip Replacement;EQ VAS;44.952;20.0;30.0;40.0;60.0;85.0;74.381;30.0;60.0;90.0;95.0;100.0;29.429;-5.0;11.0;35.0;43.0;63.0;19.0;0.0;2.0;21.0;2017-18
Age;20 to 24;Hip Replacement;EQ-5D Index;0.237;-0.239;-0.016;0.208;0.587;0.695;0.709;-0.038;0.728;0.848;1.0;1.0;0.472;-0.006;0.159;0.413;0.752;1.057;16.0;2.0;1.0;19.0;2017-18
Age;20 to 24;Hip Replacement;Oxford Hip Score;13.952;4.0;8.0;13.0;17.0;27.0;37.095;10.0;36.0;42.0;44.0;48.0;23.143;2.0;15.0;24.0;32.0;37.0;21.0;0.0;0.0;21.0;2017-18
Age;20 to 24;Knee Replacement;EQ VAS;72.5;65.75;68.75;72.5;76.25;79.25;67.5;65.25;66.25;67.5;68.75;69.75;-5.0;-14.0;-10.0;-5.0;0.0;4.0;1.0;0.0;1.0;2.0;2017-18
Age;20 to 24;Knee Replacement;EQ-5D Index;0.487;0.192;0.323;0.487;0.65;0.781;0.828;0.673;0.742;0.828;0.914;0.983;0.342;0.202;0.264;0.342;0.419;0.481;2.0;0.0;0.0;2.0;2017-18
Age;20 to 24;Knee Replacement;Oxford Knee Score;25.0;15.1;19.5;25.0;30.5;34.9;40.5;35.55;37.75;40.5;43.25;45.45;15.5;10.55;12.75;15.5;18.25;20.45;2.0;0.0;0.0;2.0;2017-18
Age;25 to 29;Hip Replacement;EQ VAS;57.5;22.25;45.0;60.0;70.0;97.75;72.5;23.15;60.25;80.0;90.0;100.0;15.0;-21.0;-3.75;15.5;26.5;54.4;20.0;2.0;8.0;30.0;2017-18
Age;25 to 29;Hip Replacement;EQ-5D Index;0.323;-0.244;0.036;0.328;0.62;0.729;0.672;-0.107;0.604;0.778;1.0;1.0;0.349;-0.048;0.061;0.309;0.551;0.974;25.0;2.0;3.0;30.0;2017-18
Age;25 to 29;Hip Replacement;Oxford Hip Score;17.968;4.0;9.5;16.0;25.5;36.0;37.097;16.5;30.0;42.0;45.5;48.0;19.129;4.0;11.0;20.0;25.5;33.0;30.0;1.0;0.0;31.0;2017-18
Age;25 to 29;Knee Replacement;EQ VAS;53.75;28.75;43.75;55.0;65.0;77.0;70.0;60.75;63.75;70.0;76.25;79.25;16.25;-4.25;-1.25;15.0;32.5;38.5;2.0;1.0;1.0;4.0;2017-18
Age;25 to 29;Knee Replacement;EQ-5D Index;0.024;-0.013;-0.003;-0.003;0.055;0.081;0.801;0.608;0.691;0.727;1.0;1.0;0.777;0.538;0.694;0.73;0.945;1.002;5.0;0.0;0.0;5.0;2017-18
Age;25 to 29;Knee Replacement;Oxford Knee Score;14.8;10.0;10.0;11.0;15.0;25.4;36.0;26.2;31.0;36.0;44.0;44.0;21.2;4.4;10.0;26.0;33.0;33.8;5.0;0.0;0.0;5.0;2017-18
Age;30 to 34;Hip Replacement;EQ VAS;55.973;18.5;40.0;60.0;70.0;95.0;74.427;30.0;62.5;80.0;90.0;98.6;18.453;-15.0;4.0;15.0;40.0;52.0;57.0;5.0;13.0;75.0;2017-18
