Dimension,Value,Procedure,Measure,Pre-Op Q Mean,Pre-Op Q 5%,Pre-Op Q 1st Quartile,Pre-Op Q Median,Pre-Op Q 3rd Quartile,Pre-Op Q 95%,Post-Op Q Mean,Post-Op Q 5%,Post-Op Q 1st Quartile,Post-Op Q Median,Post-Op Q 3rd Quartile,Post-Op Q 95%,Heath Gain Mean,Heath Gain 5%,Heath Gain 1st Quartile,Heath Gain Median,Heath Gain 3rd Quartile,Heath Gain 95%,Improved,Unchanged,Worsened,Total
Age,60 to 64,Knee Replacement,EQ-5D Index,0.406,-0.074,0.088,0.587,0.691,0.76,0.723,0.082,0.62,0.76,1,1,0.316,-0.132,0.069,0.309,0.59,0.865,4424,546,578,5548
Age,60 to 64,Knee Replacement,Oxford Knee Score,18.887,7,13,18,24,32,35.385,15,30,38,43,47,16.498,-1,10,17,24,32,5462,69,338,5869
Age,65 to 69,Hip Replacement,EQ VAS,64.8,23.4,50,70,80,95,78.973,45,70,80,90,100,14.173,-20,0,10,28,55,4375,521,1253,6149
Age,65 to 69,Hip Replacement,EQ-5D Index,0.369,-0.074,0.055,0.516,0.691,0.76,0.82,0.516,0.691,0.85,1,1,0.451,0,0.209,0.413,0.74,1.003,5749,305,284,6338
Age,65 to 69,Hip Replacement,Oxford Hip Score,18.226,6,12,18,24,33,40.855,23,38,44,47,48,22.629,5,16,24,30,37,6610,26,147,6783
Age,65 to 69,Knee Replacement,EQ VAS,68.697,30,55,70,83,95,76.704,40,70,80,90,98,8.007,-25,-3,5,20,45,4491,871,2013,7375
Age,65 to 69,Knee Replacement,EQ-5D Index,0.429,-0.074,0.101,0.587,0.691,0.76,0.768,0.189,0.691,0.796,1,1,0.339,-0.074,0.104,0.309,0.603,0.899,6343,660,589,7592
Age,65 to 69,Knee Replacement,Oxford Knee Score,19.472,7,14,19,25,33,36.877,19,32,39,44,47,17.405,0,11,18,24,33,7657,59,362,8078
Age,70 to 74,Hip Replacement,EQ VAS,65.209,25,50,70,80,95,78.275,45,70,80,90,99,13.066,-20,0,10,25,55,5294,666,1728,7688
Age,70 to 74,Hip Replacement,EQ-5D Index,0.359,-0.074,0.055,0.516,0.691,0.76,0.812,0.516,0.691,0.848,1,1,0.453,0,0.204,0.413,0.741,1.016,7163,422,374,7959
Age,70 to 74,Hip Replacement,Oxford Hip Score,18.121,6,12,17,24,33,40.217,23,37,43,47,48,22.096,4,16,23,29,37,8439,38,192,8669
Age,70 to 74,Knee Replacement,EQ VAS,69.658,30,60,75,85,95,77.012,45,70,80,90,98,7.354,-20,-4,5,19,41,5511,1083,2610,9204
Age,70 to 74,Knee Replacement,EQ-5D Index,0.438,-0.016,0.159,0.62,0.691,0.76,0.779,0.293,0.691,0.796,1,1,0.341,-0.071,0.104,0.309,0.603,0.899,8048,802,701,9551
